Title,Air Date,Code,#,Description,Season,Episode
The New Terrance and Phillip Movie Trailer,"April 3, 2002",604,84,"The boys are anxious to see a new movie trailer during a commercial break, and, after Stan's TV is destroyed, frantically run around town in search of a working TV.",6,4
Professor Chaos,"April 10, 2002",606,85,"Butters decides to wreak havoc on South Park as a super-villain after being relieved of his duty of being the boys' new fourth friend. Meanwhile, the boys hold auditions to find a replacement friend.",6,6
The Simpsons Already Did It,"June 26, 2002",607,86,"Professor Chaos (Butters) proposes numerous evil plans, only to be informed by General Disarray (Dougie) that they have been done before. Cartman builds a miniature society with aquarium creatures.",6,7
Red Hot Catholic Love,"July 3, 2002",608,87,"Priest Maxi attempts to uncover the Catholic Church's child molestation cases; South Park parents convert their families to atheism. Oh, and people crap out of their mouths.",6,8
Free Hat,"July 10, 2002",609,88,"Stan, Kyle, Cartman, and Tweek are on a mission to stop Steven Spielberg and George Lucas from editing their classic films, though the boys' supporters are more concerned about freeing a certain criminal from prison.",6,9
Bebe's Boobs Destroy Society,"July 17, 2002",610,89,"At exactly the same time Bebe starts developing breasts, the boys of South Park Elementary suddenly begin to notice how cool she is.",6,10
Child Abduction is Not Funny,"July 24, 2002",611,90,Numerous news reports about missing children in other cities incite panic among South Park parents.,6,11
A Ladder to Heaven,"November 6, 2002",612,91,"After realizing that Kenny was the one with their candy shopping spree raffle ticket before he died, the boys construct a ladder leading to heaven in an attempt to find out from Kenny the location of the ticket.",6,12
The Return of the Fellowship of the Ring to the Two Towers,"November 13, 2002",613,92,"A mix-up lands a ""Lord of the Rings"" video tape with Randy and Sharon Marsh, and a hardcore porno tape with the boys.",6,13
The Death Camp of Tolerance,"November 20, 2002",614,93,"Mr. Garrison, newly promoted to fourth-grade teacher, attempts to use his homosexuality to get fired so he can sue the school for a substantial sum of money. The students' disgust with Garrison's outrageously inappropriate behavior with his new partner Mr. Slave incurs the anger of their parents, who attempt to teach their children to be tolerant of homosexuals.",6,14
The Biggest Douche in the Universe,"November 27, 2002",615,94,"After the events in ""A Ladder to Heaven"", in which Cartman drinks Kenny's soul, Cartman becomes sick and travels with the boys and Chef to have Kenny's spirit exorcised. Stan has a run-in with famous TV ""psychic"" John Edward.",6,15
My Future Self n' Me,"December 4, 2002",616,95,"Stan is suspicious when an alcoholic, drug-addicted future version of himself ""travels back"" in time and meets him.",6,16
Red Sleigh Down,"December 11, 2002",617,96,"Cartman, concerned about being on Santa's ""naughty list"", takes Stan and Kyle on a mission to bring Christmas to a war-torn Iraq.",6,17
Cancelled,"March 19, 2003",704,97,The boys learn that Earth is a reality show for aliens and must save it from cancellation.,7,4
Krazy Kripples,"March 26, 2003",702,98,Timmy and Jimmy start a club for cripples. Christopher Reeve comes to town to promote stem cell research.,7,2
Toilet Paper,"April 2, 2003",703,99,Kyle feels guilty after he and the boys TP their art teacher's house.,7,3
I'm a Little Bit Country,"April 9, 2003",701,100,The boys enter an anti-war demonstration; Cartman travels back in time to the American Revolutionary War era.,7,1
Fat Butt and Pancake Head,"April 16, 2003",705,101,"Cartman's hand puppet Jennifer Lopez gets major publicity, which angers the real Jennifer Lopez.",7,5
Lil' Crime Stoppers,"April 23, 2003",706,102,The boys pretend to be police detectives.,7,6
Red Man's Greed,"April 30, 2003",707,103,The town is taken over by Native Americans who want to create a highway.,7,7
South Park is Gay!,"October 22, 2003",708,104,The men and boys of town become metrosexual.,7,8
Christian Rock Hard,"October 29, 2003",709,105,"Cartman, Token, and Butters form a Christian music band. Stan, Kyle, and Kenny learn about downloading free music off the Internet.",7,9
